Anger	Anticipation	Disgust	Fear	---	Sadness	Surprise	---
---	Anticipation	---	Fear	Joy	---	---	Trust
Anger	Anticipation	Disgust	---	Joy	Sadness	---	---
Anger	Anticipation	Disgust	Fear	---	Sadness	---	---
---	---	---	---	Joy	---	---	---
---	Anticipation	---	Fear	Joy	Sadness	---	Trust
---	Anticipation	---	Fear	Joy	---	---	---
---	---	---	Fear	---	Sadness	---	---
Anger	Anticipation	Disgust	Fear	Joy	Sadness	---	Trust
Anger	Anticipation	Disgust	Fear	---	Sadness	---	---
Anger	---	Disgust	Fear	---	Sadness	---	---
Anger	---	Disgust	---	---	---	---	---
---	Anticipation	---	---	Joy	---	---	Trust
---	---	---	---	---	---	---	---
Anger	---	Disgust	---	---	---	---	---
---	---	---	---	---	---	---	---
---	Anticipation	Disgust	---	Joy	---	---	Trust
---	---	Disgust	Fear	---	Sadness	Surprise	---
---	Anticipation	---	---	Joy	---	---	---
Anger	Anticipation	Disgust	Fear	---	Sadness	---	---
Anger	Anticipation	Disgust	---	---	Sadness	---	---
Anger	Anticipation	Disgust	---	---	Sadness	---	---
Anger	---	Disgust	---	---	---	---	---
Anger	---	Disgust	Fear	---	Sadness	---	---
Anger	---	Disgust	---	---	---	---	Trust
Anger	---	Disgust	Fear	---	---	---	---
Anger	---	Disgust	---	Joy	Sadness	---	---
Anger	Anticipation	Disgust	---	Joy	---	---	---
---	Anticipation	---	---	Joy	---	---	Trust
---	Anticipation	---	Fear	---	---	---	Trust
Anger	---	Disgust	---	Joy	Sadness	Surprise	---
Anger	---	Disgust	---	---	---	Surprise	---
Anger	---	Disgust	---	---	---	---	---
---	Anticipation	---	---	Joy	---	---	Trust
Anger	---	Disgust	Fear	---	---	---	---
Anger	---	Disgust	Fear	---	---	---	---
Anger	---	---	Fear	Joy	Sadness	---	---
Anger	Anticipation	Disgust	Fear	---	Sadness	Surprise	---
Anger	---	---	---	---	Sadness	---	---
Anger	---	Disgust	Fear	---	Sadness	---	---
---	Anticipation	---	Fear	---	---	---	---
Anger	Anticipation	Disgust	Fear	---	---	---	---
Anger	Anticipation	Disgust	Fear	Joy	---	---	Trust
Anger	Anticipation	Disgust	---	Joy	---	---	---
Anger	---	---	---	---	---	Surprise	---
Anger	Anticipation	Disgust	---	---	Sadness	---	---
---	Anticipation	---	---	Joy	---	---	---
---	Anticipation	---	---	Joy	---	---	---
---	Anticipation	---	---	Joy	---	---	Trust
---	Anticipation	---	---	---	---	---	---
---	---	---	Fear	Joy	Sadness	---	---
Anger	---	Disgust	---	---	Sadness	Surprise	---
Anger	Anticipation	Disgust	---	---	Sadness	---	---
Anger	Anticipation	Disgust	Fear	---	Sadness	---	---
Anger	---	---	Fear	---	Sadness	---	Trust
---	Anticipation	---	---	---	---	---	Trust
---	Anticipation	---	---	Joy	---	---	Trust
Anger	---	Disgust	Fear	Joy	Sadness	Surprise	---
---	---	---	Fear	Joy	---	---	---
---	Anticipation	---	---	Joy	---	---	---
Anger	---	Disgust	Fear	---	---	Surprise	---
---	---	---	Fear	---	Sadness	Surprise	Trust
---	Anticipation	---	Fear	---	---	---	Trust
Anger	---	Disgust	Fear	---	Sadness	---	---
Anger	---	Disgust	Fear	---	Sadness	---	---
---	---	Disgust	Fear	---	Sadness	---	Trust
Anger	---	Disgust	Fear	---	Sadness	Surprise	Trust
---	---	---	Fear	Joy	Sadness	---	Trust
Anger	Anticipation	Disgust	Fear	Joy	Sadness	---	---
Anger	---	Disgust	Fear	---	Sadness	---	---
---	Anticipation	Disgust	---	Joy	---	---	Trust
---	Anticipation	---	Fear	---	---	---	Trust
---	Anticipation	---	Fear	Joy	Sadness	---	---
Anger	Anticipation	Disgust	Fear	Joy	Sadness	---	---
Anger	---	Disgust	Fear	---	Sadness	Surprise	---
---	Anticipation	---	---	---	Sadness	---	Trust
Anger	Anticipation	---	---	---	---	---	Trust
---	---	---	Fear	---	Sadness	---	---
Anger	Anticipation	---	---	---	Sadness	---	---
---	---	---	---	Joy	---	Surprise	---
Anger	---	Disgust	---	---	Sadness	---	---
---	Anticipation	---	---	Joy	Sadness	---	Trust
---	Anticipation	---	---	---	---	---	---
Anger	Anticipation	Disgust	Fear	Joy	Sadness	---	---
Anger	---	Disgust	---	---	Sadness	Surprise	---
---	---	Disgust	Fear	Joy	Sadness	---	---
---	Anticipation	Disgust	Fear	---	Sadness	---	---
Anger	---	---	Fear	---	Sadness	---	---
---	Anticipation	---	---	Joy	---	Surprise	---
Anger	---	Disgust	Fear	---	Sadness	Surprise	---
Anger	---	Disgust	---	---	Sadness	---	---
Anger	---	Disgust	---	---	---	Surprise	---
Anger	---	Disgust	Fear	Joy	Sadness	---	---
Anger	---	Disgust	Fear	---	Sadness	Surprise	---
Anger	---	Disgust	Fear	---	Sadness	---	---
---	---	---	---	---	---	---	---
Anger	---	Disgust	Fear	---	Sadness	---	---
Anger	---	Disgust	---	Joy	Sadness	---	---
---	Anticipation	---	---	Joy	---	---	Trust
Anger	---	Disgust	Fear	---	---	---	---
---	Anticipation	---	Fear	Joy	Sadness	---	Trust
---	---	---	---	Joy	---	---	Trust
---	Anticipation	---	---	Joy	---	---	Trust
Anger	---	---	Fear	Joy	---	---	Trust
---	Anticipation	Disgust	Fear	---	Sadness	---	Trust
---	Anticipation	---	Fear	Joy	---	---	Trust
---	Anticipation	---	---	---	---	---	Trust
Anger	Anticipation	Disgust	---	---	---	---	---
---	---	Disgust	---	---	Sadness	Surprise	---
XXXXXXXXXXXX EMPTY ANNOTATION
---	Anticipation	---	---	Joy	---	---	Trust
---	---	---	---	Joy	---	---	Trust
---	Anticipation	---	---	---	---	---	Trust
Anger	Anticipation	---	Fear	Joy	---	---	Trust
---	Anticipation	---	---	Joy	---	---	Trust
---	---	---	---	Joy	---	---	Trust
---	Anticipation	---	---	Joy	---	---	---
